effect,term,estimate,std.error,statistic,conf.low,conf.high
fixed,(Intercept),1.3727437275344896,1.827245689378941,0.7512639025576625,-2.2085920145542968,4.954079469623276
fixed,r1_confidence,-2.0671288014744027,1.7501340187978223,-1.181126004792665,-5.497328446436479,1.363070843487674
fixed,manipulation_magnitude_signed,6.143912465833969,1.7961371248311504,3.4206255084291186,2.6235483898695917,9.664276541798346
fixed,r1_confidence:manipulation_magnitude_signed,1.0524018907835004,2.2852717712966695,0.4605149829450546,-3.426648475844026,5.531452257411027
