effect,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,(Intercept),52.28006169451799,5.404931688787548e-6,9672659.101866582,0,52.28005110104654,52.28007228798944
fixed,r1_confidence,-79.38125891327051,0.001111714067839472,-71404.38464320388,0,-79.38343783280459,-79.37907999373644
fixed,manipulation_magnitude_signed,23.620299953070074,0.0011224877685850085,21042.812771889243,0,23.61809991747056,23.62249998866959
fixed,r1_confidence:manipulation_magnitude_signed,-66.52887664136097,0.0011104490309817381,-59911.68868195902,0,-66.53105308146836,-66.52670020125358
