item_num,(Intercept),r1_confidence,manipulation_magnitude_signed,r1_confidence:manipulation_magnitude_signed
01,1.3727437275344896,-2.0671288014744027,6.143912465833969,1.0524018907835004
02,1.3727437275344896,-2.0671288014744027,6.143912465833969,1.0524018907835004
03,1.3727437275344896,-2.0671288014744027,6.143912465833969,1.0524018907835004
04,1.3727437275344896,-2.0671288014744027,6.143912465833969,1.0524018907835004
05,1.3727437275344896,-2.0671288014744027,6.143912465833969,1.0524018907835004
06,1.3727437275344896,-2.0671288014744027,6.143912465833969,1.0524018907835004
07,1.3727437275344896,-2.0671288014744027,6.143912465833969,1.0524018907835004
08,1.3727437275344896,-2.0671288014744027,6.143912465833969,1.0524018907835004
09,1.3727437275344896,-2.0671288014744027,6.143912465833969,1.0524018907835004
10,1.3727437275344896,-2.0671288014744027,6.143912465833969,1.0524018907835004
11,1.3727437275344896,-2.0671288014744027,6.143912465833969,1.0524018907835004
12,1.3727437275344896,-2.0671288014744027,6.143912465833969,1.0524018907835004
